Portugal    LISBOA
España	MADRID
Francia	PARIS
Irlanda	DUBLIN
Reino_Unido	LONDRES
Noruega	OSLO
Suecia	ESTOCOLMO
Finlandia	HELSINKI
Países_Bajos	AMSTERDAM
Bélgica	BRUSELAS
Luxemburgo	LUXEMBURGO
Dinamarca	COPENHAGUE
Alemania	BERLIN
Suiza	BERNA
Italia	ROMA
Polonia	VARSOVIA
República_Checa	PRAGA
Eslovaquia	BRATISLAVA
Austria	VIENA
Hungría	BUDAPEST
Eslovenia	LIUBLIANA
Croacia	ZAGREB
Bosnia	SARAJEVO
Serbia	BELGRADO
Montenegro	PODGORICA
Kosovo	PRISTINA
Albania	TIRANA
Macedonia	SKOPJE
Grecia	ATENAS
Estonia	TALLIN
Letonia	RIGA
Lituania	VILNA
Bielorrusia	MINGSK
Ucrania	KIEV
Moldavia	CHISINAU
Rumania	BUCAREST
Bulgaria	SOFIA
Turquía	ANKARA
Rusia	MOSCU
